NAMESPACE     LAST SEEN   TYPE      REASON                    OBJECT                                                           MESSAGE
kube-system   52m         Normal    Scheduled                 pod/coredns-9f58dc946-nxwm4                                      Successfully assigned kube-system/coredns-9f58dc946-nxwm4 to <NODE-03>
kube-system   52m         Normal    ScalingReplicaSet         deployment/coredns                                               Scaled up replica set coredns-9f58dc946 from 0 to 2
kube-system   52m         Normal    Created                   pod/kube-proxy-58hcl                                             Container created
kube-system   52m         Normal    Pulled                    pod/kube-proxy-jm8ms                                             Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/kube-proxy:v1.35.3-eksbuild.21" in 2.035s (2.035s including waiting). Image size: 31895353 bytes.
kube-system   52m         Normal    Pulled                    pod/kube-proxy-9wmzl                                             Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/kube-proxy:v1.35.3-eksbuild.21" in 1.518s (1.518s including waiting). Image size: 31895353 bytes.
kube-system   52m         Normal    Created                   pod/kube-proxy-9wmzl                                             Container created
kube-system   52m         Normal    Started                   pod/kube-proxy-9wmzl                                             Container started
kube-system   52m         Normal    Created                   pod/kube-proxy-jm8ms                                             Container created
kube-system   52m         Normal    Started                   pod/kube-proxy-jm8ms                                             Container started
kube-system   52m         Normal    Pulling                   pod/coredns-9f58dc946-h2xtv                                      Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/coredns:v1.13.2-eksbuild.21"
kube-system   52m         Normal    Pulling                   pod/coredns-9f58dc946-nxwm4                                      Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/coredns:v1.13.2-eksbuild.21"
kube-system   52m         Normal    Started                   pod/coredns-9f58dc946-h2xtv                                      Container started
kube-system   52m         Normal    Created                   pod/coredns-9f58dc946-nxwm4                                      Container created
kube-system   52m         Normal    Pulled                    pod/coredns-9f58dc946-h2xtv                                      Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/coredns:v1.13.2-eksbuild.21" in 1.972s (1.972s including waiting). Image size: 25928023 bytes.
kube-system   52m         Normal    Created                   pod/coredns-9f58dc946-h2xtv                                      Container created
kube-system   52m         Normal    Started                   pod/coredns-9f58dc946-nxwm4                                      Container started
kube-system   52m         Normal    Pulled                    pod/coredns-9f58dc946-nxwm4                                      Successfully pulled image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/coredns:v1.13.2-eksbuild.21" in 2.023s (2.023s including waiting). Image size: 25928023 bytes.
kube-system   12m         Normal    Scheduled                 pod/aws-load-balancer-controller-5698d6c4b8-s2cdc                Successfully assigned kube-system/aws-load-balancer-controller-5698d6c4b8-s2cdc to <NODE-01>
kube-system   12m         Normal    SuccessfulCreate          replicaset/aws-load-balancer-controller-5698d6c4b8               Created pod: aws-load-balancer-controller-5698d6c4b8-s2cdc
kube-system   12m         Normal    ScalingReplicaSet         deployment/aws-load-balancer-controller                          Scaled up replica set aws-load-balancer-controller-5698d6c4b8 from 0 to 2
kube-system   12m         Normal    SuccessfulCreate          replicaset/aws-load-balancer-controller-5698d6c4b8               Created pod: aws-load-balancer-controller-5698d6c4b8-dfn5c
kube-system   12m         Normal    Scheduled                 pod/aws-load-balancer-controller-5698d6c4b8-dfn5c                Successfully assigned kube-system/aws-load-balancer-controller-5698d6c4b8-dfn5c to <NODE-04>
kube-system   12m         Normal    Pulling                   pod/aws-load-balancer-controller-5698d6c4b8-dfn5c                Pulling image "public.ecr.aws/eks/aws-load-balancer-controller:v2.14.1"
kube-system   12m         Normal    Pulling                   pod/aws-load-balancer-controller-5698d6c4b8-s2cdc                Pulling image "public.ecr.aws/eks/aws-load-balancer-controller:v2.14.1"
kube-system   12m         Normal    Started                   pod/aws-load-balancer-controller-5698d6c4b8-dfn5c                Container started
kube-system   12m         Normal    Created                   pod/aws-load-balancer-controller-5698d6c4b8-s2cdc                Container created
kube-system   12m         Normal    Pulled                    pod/aws-load-balancer-controller-5698d6c4b8-dfn5c                Successfully pulled image "public.ecr.aws/eks/aws-load-balancer-controller:v2.14.1" in 855ms (855ms including waiting). Image size: 27078263 bytes.
kube-system   12m         Normal    Created                   pod/aws-load-balancer-controller-5698d6c4b8-dfn5c                Container created
kube-system   12m         Normal    Started                   pod/aws-load-balancer-controller-5698d6c4b8-s2cdc                Container started
